estimator,bias,rmse,bias_emp_ci_lower,bias_emp_ci_upper,abs_bias,dgp_number,N,T,fact_label,eps_autocorrelated,avg_diff_in_loading,eta_y,tau_x,beta,true_att,err_label,dgp_label
gsynth,0.027500530380389788,0.415625684388116,-0.8036104035679564,0.8357261312858489,0.3321207822825709,3,50,5,Linear Trend,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
gsynth with Control,-1.0196683103134605,1.0680881190249314,-1.611673132429229,-0.3512802880754863,1.0196683103134605,3,50,5,Linear Trend,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TWFE via OLS,-0.3028674736820955,0.5590091459464552,-1.2382661663725842,0.6265622821243905,0.45110221309070403,3,50,5,Linear Trend,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TWFE with Control,-1.151997694665333,1.2024851488034798,-1.8364879423570883,-0.48549181336841807,1.151997694665333,3,50,5,Linear Trend,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TECCE,0.019883481457194204,0.5115820131035467,-0.9324130381600062,0.9892452478334802,0.37359102470844774,3,50,5,Autocorrelated,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
gsynth,0.011593556292803358,0.37690010342403785,-0.7263912537520001,0.7575568836647191,0.30395474150034196,3,50,5,Autocorrelated,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
gsynth with Control,-1.0505171149769932,1.0931670974170344,-1.647938134889636,-0.46272925056373515,1.050830997510853,3,50,5,Autocorrelated,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TWFE via OLS,2.6313323005665596,2.8165447463619664,0.728419864344036,4.497986764087788,2.632245420047564,3,50,5,Autocorrelated,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TWFE with Control,-0.10126968331554309,0.6379868446791784,-1.306684660703546,1.1046517763401038,0.5160866859455695,3,50,5,Autocorrelated,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TECCE,0.0015364923625815266,0.18588575392712267,-0.335381611625855,0.3774555155626318,0.14698560016521453,1,50,10,Constant,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth,1.9615221064121975e-4,0.17144557945289174,-0.3167321100204434,0.3483256850843671,0.13537873022290053,1,50,10,Constant,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
gsynth with Control,0.0020823165773444017,0.12043005282782812,-0.22993117226151524,0.22946551885585226,0.0967915535541652,1,50,10,Constant,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
TWFE via OLS,-6.250791628858737e-4,0.17258738272991186,-0.3266367647609889,0.3692040674203758,0.1365577417227814,1,50,10,Constant,FALSE,0,0,0,1,0,Independent,"$\kappa = 0$, $\tau_x = 0$"
